# soak.py — pont Telegram (pont.py), premiere instance publique du harnais
# debut_utc	2026-09-22T12:05:24Z
# machine	aarch64, 2 coeurs
# intervalle_s	60
# arbre	True (si faux et enfants>0, le chiffre peut etre au mauvais endroit)
# inotify_max_user_watches	93600
# NON MESURE : energie (pas de /sys/class/powercap, VPS partage) ; percentiles de latence (mes propres processus partagent les 2 coeurs)
horodatage_utc	seconde_ecoulee	pid	vivant	rss_ko	vsize_ko	fils	descripteurs	instances_inotify	cpu_ticks	redemarrages	enfants	charge_1min	note
2026-09-22T13:39:24Z	5640	781853	1	20904	30244	1	4	0	5674	0	0	0.02	
2026-09-22T13:40:24Z	5700	781853	1	20904	30244	1	4	0	5675	0	0	0.00	
2026-09-22T13:41:24Z	5760	781853	1	20904	30244	1	4	0	5675	0	0	0.00	
2026-09-22T13:42:24Z	5820	781853	1	20904	30244	1	4	0	5675	0	0	0.00	
2026-09-22T13:43:24Z	5880	781853	1	20904	30244	1	4	0	5676	0	0	0.04	
2026-09-22T13:44:24Z	5940	781853	1	20904	30244	1	4	0	5677	0	0	0.08	
2026-09-22T13:45:24Z	6000	781853	1	20904	30244	1	4	0	5677	0	0	0.03	
2026-09-22T13:46:24Z	6060	781853	1	20904	30244	1	4	0	5678	0	0	0.01	
2026-09-22T13:47:24Z	6120	781853	1	20904	30244	1	4	0	5678	0	0	0.00	
2026-09-22T13:48:24Z	6180	781853	1	20904	30244	1	4	0	5678	0	0	0.00	
2026-09-22T13:49:24Z	6240	781853	1	20904	30244	1	4	0	5680	0	0	0.00	
2026-09-22T13:50:24Z	6300	781853	1	20904	30244	1	4	0	5680	0	0	0.00	
2026-09-22T13:51:24Z	6360	781853	1	20904	30244	1	4	0	5680	0	0	0.00	
2026-09-22T13:52:24Z	6420	781853	1	20904	30244	1	4	0	5680	0	0	0.00	
2026-09-22T13:53:24Z	6480	781853	1	20904	30244	1	4	0	5681	0	0	0.06	
2026-09-22T13:54:24Z	6540	781853	1	20904	30244	1	4	0	5682	0	0	0.02	
2026-09-22T13:55:24Z	6600	781853	1	20904	30244	1	4	0	5682	0	0	0.01	
2026-09-22T13:56:24Z	6660	781853	1	20904	30244	1	4	0	5683	0	0	0.00	
2026-09-22T13:57:24Z	6720	781853	1	20904	30244	1	4	0	5683	0	0	0.00	
2026-09-22T13:58:24Z	6780	781853	1	20904	30244	1	4	0	5683	0	0	0.04	
2026-09-22T13:59:24Z	6840	781853	1	20904	30244	1	4	0	5684	0	0	0.01	
2026-09-22T14:00:24Z	6900	781853	1	20904	30244	1	4	0	5684	0	0	0.08	
2026-09-22T14:01:24Z	6960	781853	1	20904	30244	1	4	0	5684	0	0	0.03	
2026-09-22T14:02:24Z	7020	781853	1	20904	30244	1	4	0	5685	0	0	0.01	
2026-09-22T14:03:24Z	7080	781853	1	20904	30244	1	4	0	5685	0	0	0.23	
2026-09-22T14:04:24Z	7140	781853	1	20904	30244	1	4	0	5686	0	0	0.08	
2026-09-22T14:05:24Z	7200	781853	1	20904	30244	1	4	0	5687	0	0	0.11	
2026-09-22T14:06:24Z	7260	781853	1	20904	30244	1	4	0	5687	0	0	0.04	
2026-09-22T14:07:24Z	7320	781853	1	20904	30244	1	4	0	5688	0	0	0.05	
2026-09-22T14:08:24Z	7380	781853	1	20872	30244	1	4	0	5688	0	0	0.02	
2026-09-22T14:09:24Z	7440	781853	1	20872	30244	1	4	0	5688	0	0	0.00	
2026-09-22T14:10:24Z	7500	781853	1	20872	30244	1	4	0	5689	0	0	0.00	
2026-09-22T14:11:24Z	7560	781853	1	20872	30244	1	4	0	5689	0	0	0.00	
2026-09-22T14:12:24Z	7620	781853	1	20872	30244	1	4	0	5689	0	0	0.00	
2026-09-22T14:13:24Z	7680	781853	1	20872	30244	1	4	0	5690	0	0	0.00	
2026-09-22T14:14:24Z	7740	781853	1	20872	30244	1	4	0	5691	0	0	0.05	
2026-09-22T14:15:24Z	7800	781853	1	20872	30244	1	4	0	5691	0	0	0.02	
2026-09-22T14:16:24Z	7860	781853	1	20564	30244	1	4	0	5692	0	0	0.15	
2026-09-22T14:17:24Z	7920	781853	1	20564	30244	1	4	0	5692	0	0	0.09	
2026-09-22T14:18:24Z	7980	781853	1	20564	30244	1	4	0	5692	0	0	0.09	
2026-09-22T14:19:24Z	8040	781853	1	20448	30244	1	4	0	5692	0	0	0.03	
2026-09-22T14:20:24Z	8100	781853	1	20236	30244	1	4	0	5693	0	0	0.01	
2026-09-22T14:21:24Z	8160	781853	1	20236	30244	1	4	0	5694	0	0	0.04	
2026-09-22T14:22:24Z	8220	781853	1	20236	30244	1	4	0	5694	0	0	0.01	
2026-09-22T14:23:24Z	8280	781853	1	19924	30244	1	4	0	5694	0	0	0.00	
