# soak.py — pont Telegram (pont.py) — relance dans tmux apres mort du premier soak a 2h28
# debut_utc	2026-09-22T15:04:03Z
# duree_demandee_h	720.00
# fin_prevue_utc	2026-10-22T15:04:03Z
# machine	aarch64, 2 coeurs
# intervalle_s	60
# arbre	True (si faux et enfants>0, le chiffre peut etre au mauvais endroit)
# inotify_max_user_watches	93600
# NON MESURE : energie (pas de /sys/class/powercap, VPS partage) ; percentiles de latence (mes propres processus partagent les 2 coeurs)
horodatage_utc	seconde_ecoulee	pid	vivant	rss_ko	vsize_ko	fils	descripteurs	instances_inotify	cpu_ticks	redemarrages	enfants	charge_1min	note
2026-09-22T16:27:03Z	4980	781853	1	18956	30244	1	4	0	6073	0	0	0.00	
2026-09-22T16:28:03Z	5040	781853	1	18956	30244	1	4	0	6074	0	0	0.00	
2026-09-22T16:29:03Z	5100	781853	1	18956	30244	1	4	0	6075	0	0	0.00	
2026-09-22T16:30:03Z	5160	781853	1	18956	30244	1	4	0	6075	0	0	0.14	
2026-09-22T16:31:03Z	5220	781853	1	18956	30244	1	4	0	6076	0	0	0.05	
2026-09-22T16:32:03Z	5280	781853	1	18956	30244	1	4	0	6076	0	0	0.24	
2026-09-22T16:33:03Z	5340	781853	1	18956	30244	1	4	0	6076	0	0	0.29	
2026-09-22T16:34:03Z	5400	781853	1	18956	30244	1	4	0	6076	0	0	0.22	
2026-09-22T16:35:03Z	5460	781853	1	18984	30244	1	4	0	6078	0	0	0.08	
2026-09-22T16:36:03Z	5520	781853	1	18984	30244	1	4	0	6078	0	0	0.03	
2026-09-22T16:37:03Z	5580	781853	1	18984	30244	1	4	0	6078	0	0	0.01	
2026-09-22T16:38:03Z	5640	781853	1	18984	30244	1	4	0	6079	0	0	0.00	
2026-09-22T16:39:03Z	5700	781853	1	18984	30244	1	4	0	6079	0	0	0.00	
2026-09-22T16:40:03Z	5760	781853	1	18984	30244	1	4	0	6079	0	0	0.00	
2026-09-22T16:41:03Z	5820	781853	1	18984	30244	1	4	0	6080	0	0	0.00	
2026-09-22T16:42:03Z	5880	781853	1	18984	30244	1	4	0	6080	0	0	0.00	
2026-09-22T16:43:03Z	5940	781853	1	18984	30244	1	4	0	6080	0	0	0.00	
2026-09-22T16:44:03Z	6000	781853	1	18984	30244	1	4	0	6081	0	0	0.07	
2026-09-22T16:45:03Z	6060	781853	1	18984	30244	1	4	0	6082	0	0	0.02	
2026-09-22T16:46:03Z	6120	781853	1	18984	30244	1	4	0	6082	0	0	0.01	
2026-09-22T16:47:03Z	6180	781853	1	18984	30244	1	4	0	6083	0	0	0.06	
2026-09-22T16:48:03Z	6240	781853	1	18984	30244	1	4	0	6083	0	0	0.02	
2026-09-22T16:49:03Z	6300	781853	1	18984	30244	1	4	0	6083	0	0	0.01	
2026-09-22T16:50:03Z	6360	781853	1	18984	30244	1	4	0	6084	0	0	0.00	
2026-09-22T16:51:03Z	6420	781853	1	18984	30244	1	4	0	6084	0	0	0.00	
2026-09-22T16:52:03Z	6480	781853	1	18984	30244	1	4	0	6084	0	0	0.00	
2026-09-22T16:53:03Z	6540	781853	1	18984	30244	1	4	0	6085	0	0	0.00	
2026-09-22T16:54:03Z	6600	781853	1	18984	30244	1	4	0	6085	0	0	0.27	
2026-09-22T16:55:03Z	6660	781853	1	18984	30244	1	4	0	6086	0	0	0.10	
2026-09-22T16:56:03Z	6720	781853	1	18984	30244	1	4	0	6086	0	0	0.34	
2026-09-22T16:57:03Z	6780	781853	1	18984	30244	1	4	0	6087	0	0	0.12	
2026-09-22T16:58:03Z	6840	781853	1	18984	30244	1	4	0	6087	0	0	0.04	
2026-09-22T16:59:03Z	6900	781853	1	18984	30244	1	4	0	6087	0	0	0.17	
2026-09-22T17:00:03Z	6960	781853	1	18984	30244	1	4	0	6088	0	0	0.22	
2026-09-22T17:01:03Z	7020	781853	1	18984	30244	1	4	0	6089	0	0	0.08	
2026-09-22T17:02:03Z	7080	781853	1	18984	30244	1	4	0	6089	0	0	0.42	
2026-09-22T17:03:03Z	7140	781853	1	18984	30244	1	4	0	6089	0	0	0.27	
2026-09-22T17:04:03Z	7200	781853	1	18984	30244	1	4	0	6090	0	0	0.10	
2026-09-22T17:05:03Z	7260	781853	1	18984	30244	1	4	0	6090	0	0	0.03	
2026-09-22T17:06:03Z	7320	781853	1	18984	30244	1	4	0	6090	0	0	0.30	
2026-09-22T17:07:03Z	7380	781853	1	18984	30244	1	4	0	6091	0	0	0.35	
2026-09-22T17:08:03Z	7440	781853	1	18984	30244	1	4	0	6091	0	0	0.25	
2026-09-22T17:09:03Z	7500	781853	1	18984	30244	1	4	0	6091	0	0	0.22	
2026-09-22T17:10:03Z	7560	781853	1	18984	30244	1	4	0	6093	0	0	0.08	
2026-09-22T17:11:03Z	7620	781853	1	18984	30244	1	4	0	6093	0	0	0.08	
2026-09-22T17:12:03Z	7680	781853	1	18984	30244	1	4	0	6094	0	0	0.27	
2026-09-22T17:13:03Z	7740	781853	1	18984	30244	1	4	0	6094	0	0	0.10	
2026-09-22T17:14:03Z	7800	781853	1	18984	30244	1	4	0	6094	0	0	0.03	
